Message ID,Subject,Message,Spam/Ham,Date
<msg40@enron.com>,Invoice Attached,Please send the updated design documents by EOD. #40,Ham,2022-07-14
<msg41@enron.com>,Invoice Attached,Please send the updated design documents by EOD. #41,Ham,2022-01-27
<msg42@enron.com>,Project Update,I've attached the invoice for last month. Let me know if you have any questions. #42,Ham,2022-11-24
<msg43@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #43",Ham,2022-10-14
<msg44@enron.com>,Invoice Attached,"Hi John, please find the attached report for this week. #44",Ham,2022-10-20
<msg45@enron.com>,Meeting Reminder,Please send the updated design documents by EOD. #45,Ham,2022-09-18
<msg46@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #46",Ham,2022-07-15
<msg47@enron.com>,Weekly Report,The meeting is scheduled for 10 AM tomorrow in the main conference room. #47,Ham,2022-05-03
<msg48@enron.com>,Weekly Report,I've attached the invoice for last month. Let me know if you have any questions. #48,Ham,2022-10-20
<msg49@enron.com>,Client Feedback,The meeting is scheduled for 10 AM tomorrow in the main conference room. #49,Ham,2022-10-27
<msg50@enron.com>,Invoice Attached,Please send the updated design documents by EOD. #50,Ham,2022-06-20
<msg51@enron.com>,Client Feedback,Thank you for your feedback on the latest draft. #51,Ham,2022-08-14
<msg52@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #52,Ham,2022-06-12
<msg53@enron.com>,Invoice Attached,"Hi John, please find the attached report for this week. #53",Ham,2022-05-06
<msg54@enron.com>,Client Feedback,Please send the updated design documents by EOD. #54,Ham,2022-06-21
<msg55@enron.com>,Invoice Attached,"Hi John, please find the attached report for this week. #55",Ham,2022-10-06
<msg56@enron.com>,Client Feedback,Please send the updated design documents by EOD. #56,Ham,2022-11-17
<msg57@enron.com>,Meeting Reminder,Please send the updated design documents by EOD. #57,Ham,2022-04-03
<msg58@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #58,Ham,2022-04-15
<msg59@enron.com>,Meeting Reminder,Please send the updated design documents by EOD. #59,Ham,2022-09-18
<msg60@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #60,Ham,2022-12-01
<msg61@enron.com>,Weekly Report,The meeting is scheduled for 10 AM tomorrow in the main conference room. #61,Ham,2022-12-16
<msg62@enron.com>,Weekly Report,I've attached the invoice for last month. Let me know if you have any questions. #62,Ham,2022-01-03
<msg63@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #63,Ham,2022-10-16
<msg64@enron.com>,Project Update,"Hi John, please find the attached report for this week. #64",Ham,2022-01-27
<msg65@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #65,Ham,2022-11-19
<msg66@enron.com>,Invoice Attached,Thank you for your feedback on the latest draft. #66,Ham,2022-11-09
<msg67@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #67,Ham,2022-12-26
<msg68@enron.com>,Meeting Reminder,Thank you for your feedback on the latest draft. #68,Ham,2022-11-18
<msg69@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #69,Ham,2022-10-31
<msg70@enron.com>,Weekly Report,The meeting is scheduled for 10 AM tomorrow in the main conference room. #70,Ham,2022-09-14
<msg71@enron.com>,Meeting Reminder,Please send the updated design documents by EOD. #71,Ham,2022-12-18
<msg72@enron.com>,Meeting Reminder,"Hi John, please find the attached report for this week. #72",Ham,2022-01-09
<msg73@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #73,Ham,2022-11-22
<msg74@enron.com>,Meeting Reminder,Thank you for your feedback on the latest draft. #74,Ham,2022-03-13
<msg75@enron.com>,Weekly Report,Thank you for your feedback on the latest draft. #75,Ham,2022-04-05
<msg76@enron.com>,Meeting Reminder,The meeting is scheduled for 10 AM tomorrow in the main conference room. #76,Ham,2022-04-06
<msg77@enron.com>,Project Update,Thank you for your feedback on the latest draft. #77,Ham,2022-06-15
<msg78@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #78,Ham,2022-07-05
<msg79@enron.com>,Invoice Attached,Please send the updated design documents by EOD. #79,Ham,2022-09-18
<msg80@enron.com>,Weekly Report,Please send the updated design documents by EOD. #80,Ham,2022-02-20
<msg81@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #81,Ham,2022-04-13
<msg82@enron.com>,Invoice Attached,Please send the updated design documents by EOD. #82,Ham,2022-02-09
<msg83@enron.com>,Meeting Reminder,The meeting is scheduled for 10 AM tomorrow in the main conference room. #83,Ham,2022-08-26
<msg84@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #84",Ham,2022-09-12
<msg85@enron.com>,Invoice Attached,"Hi John, please find the attached report for this week. #85",Ham,2022-12-26
<msg86@enron.com>,Project Update,Thank you for your feedback on the latest draft. #86,Ham,2022-11-20
<msg87@enron.com>,Project Update,"Hi John, please find the attached report for this week. #87",Ham,2022-09-05
<msg88@enron.com>,Client Feedback,Please send the updated design documents by EOD. #88,Ham,2022-02-16
<msg89@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #89,Ham,2022-08-26
<msg90@enron.com>,Meeting Reminder,The meeting is scheduled for 10 AM tomorrow in the main conference room. #90,Ham,2022-09-28
<msg91@enron.com>,Weekly Report,Thank you for your feedback on the latest draft. #91,Ham,2022-08-01
<msg92@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #92,Ham,2022-12-11
<msg93@enron.com>,Invoice Attached,"Hi John, please find the attached report for this week. #93",Ham,2022-10-23
<msg94@enron.com>,Weekly Report,Thank you for your feedback on the latest draft. #94,Ham,2022-01-28
<msg95@enron.com>,Weekly Report,Thank you for your feedback on the latest draft. #95,Ham,2022-10-26
<msg96@enron.com>,Client Feedback,Thank you for your feedback on the latest draft. #96,Ham,2022-10-25
<msg97@enron.com>,Invoice Attached,Thank you for your feedback on the latest draft. #97,Ham,2022-12-30
<msg98@enron.com>,Meeting Reminder,Thank you for your feedback on the latest draft. #98,Ham,2022-02-23
<msg99@enron.com>,Meeting Reminder,"Hi John, please find the attached report for this week. #99",Ham,2022-05-18
<msg100@enron.com>,Invoice Attached,The meeting is scheduled for 10 AM tomorrow in the main conference room. #100,Ham,2022-08-13
<msg101@enron.com>,Project Update,I've attached the invoice for last month. Let me know if you have any questions. #101,Ham,2022-04-13
<msg102@enron.com>,Weekly Report,Please send the updated design documents by EOD. #102,Ham,2022-05-09
<msg103@enron.com>,Client Feedback,Please send the updated design documents by EOD. #103,Ham,2022-03-20
<msg104@enron.com>,Client Feedback,"Hi John, please find the attached report for this week. #104",Ham,2022-03-27
<msg105@enron.com>,Meeting Reminder,"Hi John, please find the attached report for this week. #105",Ham,2022-01-20
<msg106@enron.com>,Weekly Report,Please send the updated design documents by EOD. #106,Ham,2022-08-13
<msg107@enron.com>,Meeting Reminder,"Hi John, please find the attached report for this week. #107",Ham,2022-01-04
<msg108@enron.com>,Weekly Report,The meeting is scheduled for 10 AM tomorrow in the main conference room. #108,Ham,2022-01-03
<msg109@enron.com>,Client Feedback,The meeting is scheduled for 10 AM tomorrow in the main conference room. #109,Ham,2022-07-10
<msg110@enron.com>,Weekly Report,Thank you for your feedback on the latest draft. #110,Ham,2022-01-27
<msg111@enron.com>,Weekly Report,I've attached the invoice for last month. Let me know if you have any questions. #111,Ham,2022-09-28
<msg112@enron.com>,Invoice Attached,Please send the updated design documents by EOD. #112,Ham,2022-04-21
<msg113@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #113,Ham,2022-08-27
<msg114@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #114,Ham,2022-04-20
<msg115@enron.com>,Invoice Attached,The meeting is scheduled for 10 AM tomorrow in the main conference room. #115,Ham,2022-02-25
<msg116@enron.com>,Weekly Report,Please send the updated design documents by EOD. #116,Ham,2022-10-07
<msg117@enron.com>,Weekly Report,The meeting is scheduled for 10 AM tomorrow in the main conference room. #117,Ham,2022-03-02
<msg118@enron.com>,Weekly Report,I've attached the invoice for last month. Let me know if you have any questions. #118,Ham,2022-02-04
<msg119@enron.com>,Invoice Attached,The meeting is scheduled for 10 AM tomorrow in the main conference room. #119,Ham,2022-03-11
<msg120@enron.com>,Client Feedback,Thank you for your feedback on the latest draft. #120,Ham,2022-01-11
<msg121@enron.com>,Client Feedback,"Hi John, please find the attached report for this week. #121",Ham,2022-01-12
<msg122@enron.com>,Client Feedback,I've attached the invoice for last month. Let me know if you have any questions. #122,Ham,2022-04-04
<msg123@enron.com>,Client Feedback,I've attached the invoice for last month. Let me know if you have any questions. #123,Ham,2022-07-20
<msg124@enron.com>,Weekly Report,The meeting is scheduled for 10 AM tomorrow in the main conference room. #124,Ham,2022-04-25
<msg125@enron.com>,Weekly Report,Please send the updated design documents by EOD. #125,Ham,2022-07-10
<msg126@enron.com>,Client Feedback,Please send the updated design documents by EOD. #126,Ham,2022-08-13
<msg127@enron.com>,Meeting Reminder,Thank you for your feedback on the latest draft. #127,Ham,2022-05-30
<msg128@enron.com>,Project Update,Please send the updated design documents by EOD. #128,Ham,2022-12-07
<msg129@enron.com>,Weekly Report,Thank you for your feedback on the latest draft. #129,Ham,2022-11-03
<msg130@enron.com>,Meeting Reminder,Please send the updated design documents by EOD. #130,Ham,2022-12-29
<msg131@enron.com>,Project Update,I've attached the invoice for last month. Let me know if you have any questions. #131,Ham,2022-07-13
<msg132@enron.com>,Project Update,"Hi John, please find the attached report for this week. #132",Ham,2022-02-28
<msg133@enron.com>,Client Feedback,"Hi John, please find the attached report for this week. #133",Ham,2022-07-30
<msg134@enron.com>,Meeting Reminder,"Hi John, please find the attached report for this week. #134",Ham,2022-02-27
<msg135@enron.com>,Client Feedback,The meeting is scheduled for 10 AM tomorrow in the main conference room. #135,Ham,2022-05-05
<msg136@enron.com>,Weekly Report,The meeting is scheduled for 10 AM tomorrow in the main conference room. #136,Ham,2022-02-01
<msg137@enron.com>,Invoice Attached,Please send the updated design documents by EOD. #137,Ham,2022-06-10
<msg138@enron.com>,Invoice Attached,"Hi John, please find the attached report for this week. #138",Ham,2022-03-05
<msg139@enron.com>,Client Feedback,I've attached the invoice for last month. Let me know if you have any questions. #139,Ham,2022-03-30
<msg140@enron.com>,Weekly Report,I've attached the invoice for last month. Let me know if you have any questions. #140,Ham,2022-03-31
<msg141@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #141,Ham,2022-07-29
<msg142@enron.com>,Client Feedback,"Hi John, please find the attached report for this week. #142",Ham,2022-09-30
<msg143@enron.com>,Project Update,"Hi John, please find the attached report for this week. #143",Ham,2022-01-04
<msg144@enron.com>,Invoice Attached,The meeting is scheduled for 10 AM tomorrow in the main conference room. #144,Ham,2022-08-31
<msg145@enron.com>,Project Update,Thank you for your feedback on the latest draft. #145,Ham,2022-08-03
<msg146@enron.com>,Project Update,I've attached the invoice for last month. Let me know if you have any questions. #146,Ham,2022-02-16
<msg147@enron.com>,Project Update,I've attached the invoice for last month. Let me know if you have any questions. #147,Ham,2022-06-18
<msg148@enron.com>,Client Feedback,"Hi John, please find the attached report for this week. #148",Ham,2022-03-30
<msg149@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #149,Ham,2022-05-02
<msg150@enron.com>,Project Update,Thank you for your feedback on the latest draft. #150,Ham,2022-07-03
<msg151@enron.com>,Meeting Reminder,The meeting is scheduled for 10 AM tomorrow in the main conference room. #151,Ham,2022-04-09
<msg152@enron.com>,Weekly Report,Please send the updated design documents by EOD. #152,Ham,2022-01-26
<msg153@enron.com>,Project Update,Thank you for your feedback on the latest draft. #153,Ham,2022-11-03
<msg154@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #154,Ham,2022-01-11
<msg155@enron.com>,Client Feedback,I've attached the invoice for last month. Let me know if you have any questions. #155,Ham,2022-06-09
<msg156@enron.com>,Client Feedback,Please send the updated design documents by EOD. #156,Ham,2022-08-31
<msg157@enron.com>,Client Feedback,The meeting is scheduled for 10 AM tomorrow in the main conference room. #157,Ham,2022-12-24
<msg158@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #158,Ham,2022-10-15
<msg159@enron.com>,Weekly Report,I've attached the invoice for last month. Let me know if you have any questions. #159,Ham,2022-09-14
<msg160@enron.com>,Project Update,Thank you for your feedback on the latest draft. #160,Ham,2022-05-13
<msg161@enron.com>,Client Feedback,I've attached the invoice for last month. Let me know if you have any questions. #161,Ham,2022-06-14
<msg162@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #162,Ham,2022-10-30
<msg163@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #163,Ham,2022-08-11
<msg164@enron.com>,Meeting Reminder,Thank you for your feedback on the latest draft. #164,Ham,2022-04-17
<msg165@enron.com>,Weekly Report,I've attached the invoice for last month. Let me know if you have any questions. #165,Ham,2022-03-11
<msg166@enron.com>,Invoice Attached,"Hi John, please find the attached report for this week. #166",Ham,2022-05-17
<msg167@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #167,Ham,2022-04-29
<msg168@enron.com>,Weekly Report,I've attached the invoice for last month. Let me know if you have any questions. #168,Ham,2022-01-05
<msg169@enron.com>,Meeting Reminder,The meeting is scheduled for 10 AM tomorrow in the main conference room. #169,Ham,2022-04-29
<msg170@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #170",Ham,2022-03-27
<msg171@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #171",Ham,2022-04-20
<msg172@enron.com>,Invoice Attached,"Hi John, please find the attached report for this week. #172",Ham,2022-05-19
<msg173@enron.com>,Weekly Report,The meeting is scheduled for 10 AM tomorrow in the main conference room. #173,Ham,2022-04-22
<msg174@enron.com>,Client Feedback,The meeting is scheduled for 10 AM tomorrow in the main conference room. #174,Ham,2022-03-07
<msg175@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #175,Ham,2022-08-02
<msg176@enron.com>,Meeting Reminder,The meeting is scheduled for 10 AM tomorrow in the main conference room. #176,Ham,2022-05-08
<msg177@enron.com>,Project Update,Please send the updated design documents by EOD. #177,Ham,2022-11-20
<msg178@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #178,Ham,2022-03-11
<msg179@enron.com>,Project Update,I've attached the invoice for last month. Let me know if you have any questions. #179,Ham,2022-12-23
<msg180@enron.com>,Project Update,Thank you for your feedback on the latest draft. #180,Ham,2022-12-25
<msg181@enron.com>,Client Feedback,"Hi John, please find the attached report for this week. #181",Ham,2022-06-12
<msg182@enron.com>,Invoice Attached,"Hi John, please find the attached report for this week. #182",Ham,2022-02-10
<msg183@enron.com>,Meeting Reminder,Please send the updated design documents by EOD. #183,Ham,2022-04-14
<msg184@enron.com>,Weekly Report,Please send the updated design documents by EOD. #184,Ham,2022-09-30
<msg185@enron.com>,Project Update,I've attached the invoice for last month. Let me know if you have any questions. #185,Ham,2022-12-04
<msg186@enron.com>,Invoice Attached,"Hi John, please find the attached report for this week. #186",Ham,2022-12-25
<msg187@enron.com>,Client Feedback,I've attached the invoice for last month. Let me know if you have any questions. #187,Ham,2022-05-27
<msg188@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #188",Ham,2022-09-17
<msg189@enron.com>,Client Feedback,I've attached the invoice for last month. Let me know if you have any questions. #189,Ham,2022-01-12
<msg190@enron.com>,Meeting Reminder,Please send the updated design documents by EOD. #190,Ham,2022-12-16
<msg191@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #191,Ham,2022-08-24
<msg192@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #192,Ham,2022-04-16
<msg193@enron.com>,Invoice Attached,Thank you for your feedback on the latest draft. #193,Ham,2022-04-08
<msg194@enron.com>,Invoice Attached,Thank you for your feedback on the latest draft. #194,Ham,2022-06-29
<msg195@enron.com>,Weekly Report,The meeting is scheduled for 10 AM tomorrow in the main conference room. #195,Ham,2022-08-16
<msg196@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #196,Ham,2022-12-25
<msg197@enron.com>,Invoice Attached,Please send the updated design documents by EOD. #197,Ham,2022-03-28
<msg198@enron.com>,Weekly Report,Thank you for your feedback on the latest draft. #198,Ham,2022-01-22
<msg199@enron.com>,Project Update,I've attached the invoice for last month. Let me know if you have any questions. #199,Ham,2022-06-14
<msg200@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #200,Ham,2022-12-24
<msg201@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #201,Ham,2022-10-24
<msg202@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #202",Ham,2022-01-07
<msg203@enron.com>,Project Update,I've attached the invoice for last month. Let me know if you have any questions. #203,Ham,2022-11-08
<msg204@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #204,Ham,2022-04-29
<msg205@enron.com>,Weekly Report,Please send the updated design documents by EOD. #205,Ham,2022-05-14
<msg206@enron.com>,Invoice Attached,"Hi John, please find the attached report for this week. #206",Ham,2022-07-07
<msg207@enron.com>,Invoice Attached,The meeting is scheduled for 10 AM tomorrow in the main conference room. #207,Ham,2022-08-05
<msg208@enron.com>,Meeting Reminder,Thank you for your feedback on the latest draft. #208,Ham,2022-06-04
<msg209@enron.com>,Client Feedback,I've attached the invoice for last month. Let me know if you have any questions. #209,Ham,2022-05-31
<msg210@enron.com>,Project Update,Please send the updated design documents by EOD. #210,Ham,2022-02-01
<msg211@enron.com>,Project Update,"Hi John, please find the attached report for this week. #211",Ham,2022-10-11
<msg212@enron.com>,Client Feedback,The meeting is scheduled for 10 AM tomorrow in the main conference room. #212,Ham,2022-11-30
<msg213@enron.com>,Invoice Attached,"Hi John, please find the attached report for this week. #213",Ham,2022-08-29
<msg214@enron.com>,Invoice Attached,"Hi John, please find the attached report for this week. #214",Ham,2022-11-19
<msg215@enron.com>,Invoice Attached,"Hi John, please find the attached report for this week. #215",Ham,2022-06-09
<msg216@enron.com>,Meeting Reminder,I've attached the invoice for last month. Let me know if you have any questions. #216,Ham,2022-01-14
<msg217@enron.com>,Invoice Attached,"Hi John, please find the attached report for this week. #217",Ham,2022-01-09
<msg218@enron.com>,Meeting Reminder,Please send the updated design documents by EOD. #218,Ham,2022-07-26
<msg219@enron.com>,Client Feedback,Thank you for your feedback on the latest draft. #219,Ham,2022-01-07
<msg220@enron.com>,Weekly Report,Thank you for your feedback on the latest draft. #220,Ham,2022-11-09
<msg221@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #221,Ham,2022-11-29
<msg222@enron.com>,Client Feedback,"Hi John, please find the attached report for this week. #222",Ham,2022-08-04
<msg223@enron.com>,Weekly Report,Please send the updated design documents by EOD. #223,Ham,2022-08-26
<msg224@enron.com>,Project Update,Thank you for your feedback on the latest draft. #224,Ham,2022-10-20
<msg225@enron.com>,Invoice Attached,Thank you for your feedback on the latest draft. #225,Ham,2022-10-24
<msg226@enron.com>,Weekly Report,I've attached the invoice for last month. Let me know if you have any questions. #226,Ham,2022-04-19
<msg227@enron.com>,Weekly Report,I've attached the invoice for last month. Let me know if you have any questions. #227,Ham,2022-02-13
<msg228@enron.com>,Weekly Report,Please send the updated design documents by EOD. #228,Ham,2022-02-18
<msg229@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #229,Ham,2022-09-09
<msg230@enron.com>,Project Update,Please send the updated design documents by EOD. #230,Ham,2022-04-26
<msg231@enron.com>,Weekly Report,I've attached the invoice for last month. Let me know if you have any questions. #231,Ham,2022-04-21
<msg232@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #232,Ham,2022-01-13
<msg233@enron.com>,Invoice Attached,Please send the updated design documents by EOD. #233,Ham,2022-10-31
<msg234@enron.com>,Invoice Attached,Please send the updated design documents by EOD. #234,Ham,2022-03-29
<msg235@enron.com>,Meeting Reminder,Thank you for your feedback on the latest draft. #235,Ham,2022-04-09
<msg236@enron.com>,Meeting Reminder,The meeting is scheduled for 10 AM tomorrow in the main conference room. #236,Ham,2022-04-29
<msg237@enron.com>,Project Update,Thank you for your feedback on the latest draft. #237,Ham,2022-01-25
<msg238@enron.com>,Client Feedback,Please send the updated design documents by EOD. #238,Ham,2022-12-04
<msg239@enron.com>,Client Feedback,"Hi John, please find the attached report for this week. #239",Ham,2022-11-23
<msg240@enron.com>,Weekly Report,I've attached the invoice for last month. Let me know if you have any questions. #240,Ham,2022-02-27
<msg241@enron.com>,Meeting Reminder,The meeting is scheduled for 10 AM tomorrow in the main conference room. #241,Ham,2022-09-20
<msg242@enron.com>,Meeting Reminder,The meeting is scheduled for 10 AM tomorrow in the main conference room. #242,Ham,2022-08-06
<msg243@enron.com>,Client Feedback,Please send the updated design documents by EOD. #243,Ham,2022-05-03
<msg244@enron.com>,Meeting Reminder,Thank you for your feedback on the latest draft. #244,Ham,2022-05-20
<msg245@enron.com>,Meeting Reminder,The meeting is scheduled for 10 AM tomorrow in the main conference room. #245,Ham,2022-01-12
<msg246@enron.com>,Client Feedback,"Hi John, please find the attached report for this week. #246",Ham,2022-02-18
<msg247@enron.com>,Invoice Attached,The meeting is scheduled for 10 AM tomorrow in the main conference room. #247,Ham,2022-03-28
<msg248@enron.com>,Client Feedback,Please send the updated design documents by EOD. #248,Ham,2022-02-08
<msg249@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #249,Ham,2022-03-14
<msg250@enron.com>,Project Update,Please send the updated design documents by EOD. #250,Ham,2022-06-15
<msg251@enron.com>,Client Feedback,Thank you for your feedback on the latest draft. #251,Ham,2022-04-10
<msg252@enron.com>,Project Update,Please send the updated design documents by EOD. #252,Ham,2022-10-09
<msg253@enron.com>,Project Update,I've attached the invoice for last month. Let me know if you have any questions. #253,Ham,2022-02-28
<msg254@enron.com>,Weekly Report,Please send the updated design documents by EOD. #254,Ham,2022-11-03
<msg255@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #255,Ham,2022-05-31
<msg256@enron.com>,Client Feedback,I've attached the invoice for last month. Let me know if you have any questions. #256,Ham,2022-10-22
<msg257@enron.com>,Meeting Reminder,Please send the updated design documents by EOD. #257,Ham,2022-10-04
<msg258@enron.com>,Project Update,Thank you for your feedback on the latest draft. #258,Ham,2022-06-16
<msg259@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #259",Ham,2022-05-01
<msg260@enron.com>,Project Update,"Hi John, please find the attached report for this week. #260",Ham,2022-08-17
<msg261@enron.com>,Invoice Attached,Thank you for your feedback on the latest draft. #261,Ham,2022-02-09
<msg262@enron.com>,Project Update,Please send the updated design documents by EOD. #262,Ham,2022-03-29
<msg263@enron.com>,Weekly Report,I've attached the invoice for last month. Let me know if you have any questions. #263,Ham,2022-02-18
<msg264@enron.com>,Project Update,Please send the updated design documents by EOD. #264,Ham,2022-08-27
<msg265@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #265,Ham,2022-12-27
<msg266@enron.com>,Invoice Attached,"Hi John, please find the attached report for this week. #266",Ham,2022-09-11
<msg267@enron.com>,Client Feedback,Please send the updated design documents by EOD. #267,Ham,2022-10-21
<msg268@enron.com>,Meeting Reminder,Please send the updated design documents by EOD. #268,Ham,2022-05-24
<msg269@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #269",Ham,2022-12-19
<msg270@enron.com>,Project Update,The meeting is scheduled for 10 AM tomorrow in the main conference room. #270,Ham,2022-01-28
